iter	Passed	Remaining
534	11633	75347
535	11652	75308
536	11670	75260
537	11689	75218
538	11707	75175
539	11725	75132
540	11742	75081
541	11760	75031
542	11779	74992
543	11797	74945
544	11813	74891
545	11831	74844
546	11848	74796
547	11866	74751
548	11907	74847
549	11949	74956
550	11980	74991
551	12008	75010
552	12028	74977
553	12051	74961
554	12071	74928
555	12090	74891
556	12114	74884
557	12136	74862
558	12156	74831
559	12176	74800
560	12197	74770
561	12219	74750
562	12241	74731
563	12264	74718
564	12290	74722
565	12323	74768
566	12347	74759
567	12367	74730
568	12393	74732
569	12416	74715
570	12446	74741
571	12481	74803
572	12514	74843
573	12559	74962
574	12591	74999
575	12621	75026
576	12640	74987
577	12657	74938
578	12676	74897
579	12693	74848
580	12710	74796
581	12730	74765
582	12747	74714
583	12764	74666
584	12781	74615
585	12798	74565
586	12816	74516
587	12834	74474
588	12859	74471
589	12877	74425
590	12893	74373
591	12910	74324
592	12929	74282
593	12945	74231
594	12962	74181
595	12980	74134
596	12997	74087
597	13015	74047
598	13033	74001
599	13050	73955
600	13068	73911
601	13085	73863
602	13102	73813
603	13119	73763
604	13135	73712
605	13152	73662
606	13169	73614
607	13187	73570
608	13205	73530
609	13222	73484
610	13239	73434
611	13256	73387
612	13273	73339
613	13290	73291
614	13308	73253
615	13326	73209
616	13343	73161
617	13362	73123
618	13381	73087
619	13397	73038
620	13415	72997
621	13433	72953
622	13449	72905
623	13468	72867
624	13485	72822
625	13503	72780
626	13520	72733
627	13537	72688
628	13554	72642
629	13571	72598
630	13587	72547
631	13605	72504
632	13623	72463
633	13651	72476
634	13678	72484
635	13696	72447
636	13713	72400
637	13731	72358
638	13752	72333
639	13770	72293
640	13787	72251
641	13805	72208
642	13822	72164
643	13839	72122
644	13860	72094
645	13877	72051
646	13894	72008
647	13924	72027
648	13943	71994
649	13961	71956
650	13979	71918
651	14003	71907
652	14021	71868
653	14039	71831
654	14057	71790
655	14075	71749
656	14093	71710
657	14110	71665
658	14126	71617
659	14142	71568
660	14158	71522
661	14176	71479
662	14193	71440
663	14211	71400
664	14229	71363
665	14248	71328
666	14266	71287
667	14284	71251
668	14306	71231
669	14325	71199
670	14344	71164
671	14361	71121
672	14379	71084
673	14396	71044
674	14413	70997
675	14430	70958
676	14447	70915
677	14464	70874
678	14481	70830
679	14499	70791
680	14516	70748
681	14535	70714
682	14554	70681
683	14572	70644
684	14589	70602
685	14607	70565
686	14625	70529
687	14644	70495
688	14662	70460
689	14679	70419
690	14696	70376
691	14713	70335
692	14734	70313
693	14751	70273
694	14769	70233
695	14786	70194
696	14806	70168
697	14835	70180
698	14855	70154
699	14873	70115
700	14891	70081
701	14909	70043
702	14927	70007
703	14945	69971
704	14963	69936
705	14981	69901
706	14999	69863
707	15016	69824
708	15034	69785
709	15052	69749
710	15069	69709
711	15086	69668
712	15103	69626
713	15119	69584
714	15137	69547
715	15154	69509
716	15172	69471
717	15190	69435
718	15208	69399
719	15228	69374
720	15248	69346
721	15267	69314
722	15286	69284
723	15306	69260
724	15324	69225
725	15343	69193
726	15361	69159
727	15391	69179
728	15418	69182
729	15449	69203
730	15480	69226
731	15510	69246
732	15564	69371
733	15614	69477
734	15698	69737
735	15731	69765
736	15756	69762
737	15793	69807
738	15837	69885
739	15864	69888
740	15885	69864
741	15911	69863
742	15939	69872
743	15961	69852
744	15978	69810
745	16004	69811
746	16025	69788
747	16057	69812
748	16078	69787
749	16097	69756
750	16121	69744
751	16139	69708
752	16157	69670
753	16174	69633
754	16192	69595
755	16214	69574
756	16231	69537
757	16249	69499
758	16266	69461
759	16287	69435
760	16305	69399
761	16324	69368
762	16346	69347
763	16404	69482
764	16443	69537
765	16464	69513
766	16483	69478
767	16503	69451
768	16519	69408
769	16536	69365
770	16552	69323
771	16571	69289
772	16587	69246
773	16604	69204
774	16623	69174
775	16642	69143
776	16659	69105
777	16679	69074
778	16698	69043
779	16718	69018
780	16737	68984
781	16754	68945
782	16771	68908
783	16789	68869
784	16808	68839
785	16829	68818
786	16850	68793
787	16879	68803
788	16905	68799
789	16922	68762
790	16939	68722
791	16958	68691
792	16975	68652
793	16992	68612
794	17010	68578
795	17028	68543
796	17047	68510
797	17064	68473
798	17083	68440
799	17101	68404
800	17119	68369
801	17138	68338
802	17156	68305
803	17174	68270
804	17193	68238
805	17211	68206
806	17230	68173
807	17246	68133
808	17264	68096
809	17282	68062
810	17300	68028
811	17318	67994
812	17337	67962
813	17355	67929
814	17373	67895
815	17391	67859
816	17408	67822
817	17425	67784
818	17443	67751
819	17463	67723
820	17482	67693
821	17500	67659
822	17519	67629
823	17536	67593
824	17553	67555
825	17570	67515
826	17595	67511
827	17624	67516
828	17656	67536
829	17691	67569
830	17722	67584
831	17774	67677
832	17801	67678
833	17820	67650
834	17839	67617
835	17857	67583
836	17877	67557
837	17898	67536
838	17917	67505
839	17938	67483
840	17955	67445
841	17973	67410
842	17991	67376
843	18008	67338
844	18025	67301
845	18042	67265
846	18061	67235
847	18079	67202
848	18098	67171
849	18117	67139
850	18135	67106
851	18154	67076
852	18172	67044
853	18191	67014
854	18211	66987
855	18229	66955
856	18249	66928
857	18268	66899
858	18287	66867
859	18304	66834
860	18323	66801
861	18340	66767
862	18357	66729
863	18375	66697
864	18393	66661
865	18410	66625
866	18427	66589
867	18444	66553
868	18463	66524
869	18483	66496
870	18500	66463
871	18519	66432
872	18541	66415
873	18559	66381
874	18576	66344
875	18592	66306
876	18610	66272
877	18626	66233
878	18645	66202
879	18663	66169
880	18680	66134
881	18697	66099
882	18714	66062
883	18735	66040
884	18753	66007
885	18779	66003
886	18799	65977
887	18819	65951
888	18836	65918
889	18854	65886
890	18874	65857
891	18893	65829
892	18910	65793
893	18928	65762
894	18945	65726
895	18962	65692
896	18979	65657
897	18996	65620
898	19013	65585
899	19030	65549
900	19047	65513
901	19064	65477
902	19083	65451
903	19102	65422
904	19122	65396
905	19140	65364
906	19158	65333
907	19175	65298
908	19193	65265
909	19211	65233
910	19229	65202
911	19246	65167
912	19264	65136
913	19281	65101
914	19299	65068
915	19317	65038
916	19335	65006
917	19353	64974
918	19370	64941
919	19388	64910
920	19406	64877
921	19423	64844
922	19448	64836
923	19471	64821
924	19490	64792
925	19509	64764
926	19527	64732
927	19543	64695
