iter	Passed	Remaining
849	2848	502
850	2852	499
851	2855	495
852	2858	492
853	2861	489
854	2864	485
855	2867	482
856	2871	479
857	2874	475
858	2877	472
859	2880	468
860	2883	465
861	2886	462
862	2889	458
863	2892	455
864	2895	451
865	2898	448
866	2900	444
867	2903	441
868	2906	438
869	2909	434
870	2912	431
871	2914	427
872	2917	424
873	2920	421
874	2923	417
875	2926	414
876	2928	410
877	2931	407
878	2934	403
879	2937	400
880	2940	397
881	2943	393
882	2946	390
883	2948	386
884	2953	383
885	2956	380
886	2959	377
887	2962	373
888	2965	370
889	2968	366
890	2972	363
891	2975	360
892	2978	356
893	2983	353
894	2986	350
895	2989	347
896	2992	343
897	2996	340
898	2998	336
899	3001	333
900	3004	330
901	3007	326
902	3010	323
903	3013	320
904	3016	316
905	3018	313
906	3021	309
907	3025	306
908	3028	303
909	3031	299
910	3034	296
911	3037	293
912	3041	289
913	3044	286
914	3047	283
915	3050	279
916	3054	276
917	3057	273
918	3060	269
919	3063	266
920	3066	263
921	3070	259
922	3073	256
923	3076	253
924	3079	249
925	3082	246
926	3085	242
927	3088	239
928	3090	236
929	3093	232
930	3096	229
931	3099	226
932	3102	222
933	3105	219
934	3107	216
935	3110	212
936	3113	209
937	3117	206
938	3120	202
939	3123	199
940	3127	196
941	3131	192
942	3136	189
943	3139	186
944	3142	182
945	3146	179
946	3148	176
947	3152	172
948	3155	169
949	3158	166
950	3162	162
951	3165	159
952	3168	156
953	3171	152
954	3175	149
955	3178	146
956	3181	142
957	3185	139
958	3188	136
959	3191	132
960	3194	129
961	3197	126
962	3199	122
963	3202	119
964	3205	116
965	3208	112
966	3211	109
967	3213	106
968	3216	102
969	3219	99
970	3222	96
971	3225	92
972	3229	89
973	3233	86
974	3236	82
975	3244	79
976	3248	76
977	3251	73
978	3254	69
979	3257	66
980	3261	63
981	3264	59
982	3267	56
983	3270	53
984	3273	49
985	3276	46
986	3279	43
987	3284	39
988	3288	36
989	3291	33
990	3294	29
991	3297	26
992	3300	23
993	3304	19
994	3307	16
995	3310	13
996	3313	9
997	3316	6
998	3319	3
999	3322	0
